id,title,body,category,priority
TK-0,Aiuto: Richiesta informazioni sui termini contrattuali aggiornati,"Ciao, vorrei richiedere un chiarimento relativo alle condizioni commerciali per il prossimo trimestre. Potreste fornirmi i dettagli più recenti o indicarmi la sezione del portale dove posso consultare tali informazioni? Grazie.",Commerciale,Bassa
TK-1,Info per i costi del nuovo abbonamento,"Vi scrivo perché ho un dubbio sui prezzi che mi avete inviato. Non capisco bene se devo pagare tutto subito o se c'è qualche rata. Potete chiarirmi la faccenda, vi prego?",Commerciale,Alta
TK-2,Non funziona l'accesso al portale amministrativo,Vi scrivo perché non riesco ad accedere alla sezione di gestione documenti. Ho provato con le credenziali corrette ma il sistema mi restituisce un errore di autenticazione. Potreste verificare se ci sono problemi lato server o se è necessario resettare i miei dati utente?,Amministrazione,Bassa
TK-3,Problema con i prezzi sul catalogo online,"Buongiorno, ho notato che alcuni articoli nel catalogo non hanno aggiornato i prezzi. Potreste darmi una mano a sistemare la cosa? Grazie mille.",Commerciale,Bassa
TK-4,Richiesta urgente: Non mi entra nel portale clienti,"Salve, scusa ma non riesco ad accedere al portale. Ho provato con la password e l'username corretti ma continua a darmi errore. Mi serve un aiuto veloce per entrare.",Tecnico,Bassa
TK-5,Ho un problema: Non riesco ad accedere al portale con le credenziali aggiornate,"Buongiorno. Ho bisogno di assistenza per l'accesso al portale clienti. Sembra che, nonostante abbia inserito le nuove credenziali fornite ieri, il sistema mi riporti un errore di autenticazione. Potreste verificare la mia utenza o indicarmi i passaggi corretti?",Commerciale,Media
TK-6,Aiuto: Non riesco ad accedere alla sezione pagamenti,"Ciao, ho problemi a visualizzare le fatture di marzo sul portale. Il sistema mi restituisce un errore di autorizzazione e non so come procedere per scaricarle. Potreste indicarmi la procedura corretta o verificare l'accesso al mio account? Grazie.",Amministrazione,Alta
TK-7,Aiuto: Non riesco ad accedere al sistema CRM,"Scusate il disturbo. Ho problemi a loggarmi sul sistema CRM questa mattina. Potreste controllare se ci sono interruzioni o indicarmi i passaggi corretti per l'accesso, per favore?",Tecnico,Media
TK-8,Aiuto: Connessione rete instabile dopo l'ultimo aggiornamento,"Ciao, riscontro una connettività di rete intermittente dal momento dell'aggiornamento automatico. Ho già verificato i cavi e riavviato il sistema senza successo. Potreste gentilmente verificare la configurazione del gateway?",Tecnico,Media
TK-9,Bloccato su approvazione spese viaggio,"Ho un problema: Devo inviare urgentemente una richiesta di rimborso per le spese sostenute durante il recente viaggio a Milano. Il sistema non mi permette di inoltrare la documentazione nonostante i dati siano stati inseriti correttamente. Potreste verificare l'accesso alla funzione o indicarmi la procedura alternativa più rapida? Grazie, sono Marco Rossi.",Amministrazione,Alta
TK-10,Errore accesso area clienti dopo aggiornamento,"Vi scrivo perché ho riscontrato un blocco nell'accesso all'area riservata. Non riesco a effettuare il login nonostante le credenziali siano corrette. Potreste verificare la causa di questo malfunzionamento, per favore?",Commerciale,Bassa
TK-11,Bloccato su come attivare lo sconto per i nuovi clienti,"Buongiorno, mi serve un aiuto veloce. Sto cercando di capire bene come funziona l'attivazione dello sconto che avete per chi è nuovo. Non trovo la procedura esatta e non ho idea da dove cominciare.",Commerciale,Bassa
TK-12,Richiesta urgente: Non riesco ad accedere al sistema dopo l'aggiornamento,"Vi scrivo perché non mi entra più nel portale aziendale. Ho provato a resettare la password ma continua a dare errore. Potete darmi una mano, per favore?",Tecnico,Alta
TK-13,"Buongiorno, non riesco a trovare dove devo fare l'ordine dei materiali","Buongiorno, scusa se disturbo. Non capisco bene come si fa a ordinare i materiali per il prossimo mese. Potete dirmi esattamente dove guardare o chi chiamare? Sono un po' persa in questa roba.",Amministrazione,Media
TK-14,Errore quando devo mandare le email,"Ciao, non riesco proprio a inviare nessuna mail. Ho provato di tutto ma mi dà sempre un messaggio d'errore strano. Mi sa che è roba tecnica, sapete? Grazie mille.",Tecnico,Alta
TK-15,Non va l'accesso al portale clienti,"Vi scrivo perché non riesco ad accedere alla sezione riservata del portale. Nonostante abbia inserito le credenziali corrette, il sistema mi restituisce un messaggio di errore generico. Potreste verificare la mia utenza o fornirmi istruzioni alternative per l'accesso?",Commerciale,Alta
TK-16,Non funziona la stampa del report mensile,"Ciao, non riesco proprio a stampare questo report. Ho provato tutto ma mi dà sempre errore. Mi aiuti un attimo per favore?",Tecnico,Bassa
TK-17,Problema con l'accesso ai dati di fatturazione,"Buongiorno, scrivo perché non riesco ad accedere alla sezione relativa ai miei dati di fatturazione online. Ho provato diverse volte a resettare la password ma il sistema mi riporta sempre un errore generico. Potreste verificare se ci sono problemi tecnici o fornirmi una procedura alternativa per recuperare l'accesso? Grazie.",Commerciale,Media
TK-18,Ho bisogno di assistenza con l'attivazione del modulo fiscale,"Ho un problema: Devo finalizzare l'integrazione dei dati fiscali per il nuovo cliente. Non riesco ad accedere alla sezione avanzata del portale, nonostante i permessi siano stati confermati ieri. Potete verificare se ci sono restrizioni di sistema o se è necessario un intervento manuale da parte vostra?",Commerciale,Media
TK-19,Non va l'accesso al sistema CRM dopo aggiornamento,"Salve. Non riesco ad accedere al sistema CRM da stamattina. Ho provato a cancellare i cookie e riavviare il browser, ma continua a darmi errore di autenticazione. Potete verificare se ci sono problemi lato server? Grazie.",Tecnico,Bassa
TK-20,Aiuto: Non trovo dove caricare i documenti di spesa,"Scusate il disturbo. Volevo sapere se c'è un posto specifico nel sistema per caricare le ultime spese che ho fatto, non riesco a capire bene come funziona questa parte. Grazie mille!",Amministrazione,Bassa
TK-21,Non va la visualizzazione dei report di vendita,"Vi scrivo perché non riesco ad accedere ai dati completi del report trimestrale. Sembra che ci sia un errore nella generazione, e ho bisogno di consultare i numeri per oggi stesso. Potete verificare il problema da remoto? Grazie.",Commerciale,Media
TK-22,Chiarimento su condizioni contrattuali per nuove licenze,"Salve, vorrei avere un chiarimento riguardo le tariffe e i termini di acquisto per due nuove licenze software. Sono interessato a capire se è prevista una tariffazione scontata per l'acquisto multiplo o se devo procedere con la singola licenza. Grazie in anticipo.",Commerciale,Media
